orderid,productid,unitprice_x,quantity,discount,total,customerid,employeeid,orderdate,requireddate,shippeddate,shipvia,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry,productname,supplierid,categoryid,quantityperunit,unitprice_y,unitsinstock,unitsonorder,reorderlevel,discontinued,year_month
10255,2,15.2,20,0.0,304.0,-9223372036854775808,9,1996-12-07,842140800000000000,1996-07-15,3,148.33,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,1,1,-9223372036854775808,19.0,17,40,25,False,1996-12
10255,16,13.9,35,0.0,486.5,-9223372036854775808,9,1996-12-07,842140800000000000,1996-07-15,3,148.33,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,7,3,-9223372036854775808,17.45,29,0,10,False,1996-12
10255,36,15.2,25,0.0,380.0,-9223372036854775808,9,1996-12-07,842140800000000000,1996-07-15,3,148.33,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,17,8,-9223372036854775808,19.0,112,0,20,False,1996-12
10255,59,44.0,30,0.0,1320.0,-9223372036854775808,9,1996-12-07,842140800000000000,1996-07-15,3,148.33,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,28,4,-9223372036854775808,55.0,79,0,0,False,1996-12
10256,53,26.2,15,0.0,393.0,-9223372036854775808,3,,850003200000000000,1996-07-17,2,13.97,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,24,6,-9223372036854775808,32.8,0,0,0,True,
10256,77,10.4,12,0.0,124.8,-9223372036854775808,3,,850003200000000000,1996-07-17,2,13.97,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,12,2,-9223372036854775808,13.0,32,0,15,False,
10257,27,35.1,25,0.0,877.5,-9223372036854775808,4,,-9223372036854775808,1996-07-22,3,81.91,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,11,3,-9223372036854775808,43.9,49,0,30,False,
10257,39,14.4,6,0.0,86.4,-9223372036854775808,4,,-9223372036854775808,1996-07-22,3,81.91,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,18,1,-9223372036854775808,18.0,69,0,5,False,
10257,77,10.4,15,0.0,156.0,-9223372036854775808,4,,-9223372036854775808,1996-07-22,3,81.91,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,12,2,-9223372036854775808,13.0,32,0,15,False,
10258,2,15.2,50,0.2000000029802322,760.0,-9223372036854775808,1,,-9223372036854775808,1996-07-23,1,140.51,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,1,1,-9223372036854775808,19.0,17,40,25,False,
10258,5,17.0,65,0.2000000029802322,1105.0,-9223372036854775808,1,,-9223372036854775808,1996-07-23,1,140.51,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,2,2,-9223372036854775808,21.35,0,0,0,True,
10258,32,25.6,6,0.2000000029802322,153.60000000000002,-9223372036854775808,1,,-9223372036854775808,1996-07-23,1,140.51,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,14,4,-9223372036854775808,32.0,9,40,25,False,
10259,21,8.0,10,0.0,80.0,-9223372036854775808,4,,-9223372036854775808,1996-07-25,3,3.25,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,8,3,-9223372036854775808,10.0,3,40,5,False,
10259,37,20.8,1,0.0,20.8,-9223372036854775808,4,,-9223372036854775808,1996-07-25,3,3.25,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,17,8,-9223372036854775808,26.0,11,50,25,False,
10260,41,7.7,16,0.25,123.2,-9223372036854775808,4,,-9223372036854775808,1996-07-29,1,55.09,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,19,8,-9223372036854775808,9.65,85,0,10,False,
10260,57,15.6,50,0.0,780.0,-9223372036854775808,4,,-9223372036854775808,1996-07-29,1,55.09,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,26,5,-9223372036854775808,19.5,36,0,20,False,
10260,62,39.4,15,0.25,591.0,-9223372036854775808,4,,-9223372036854775808,1996-07-29,1,55.09,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,29,3,-9223372036854775808,49.3,17,0,0,False,
10260,70,12.0,21,0.25,252.0,-9223372036854775808,4,,-9223372036854775808,1996-07-29,1,55.09,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,7,1,-9223372036854775808,15.0,15,10,30,False,
10261,21,8.0,20,0.0,160.0,-9223372036854775808,4,,-9223372036854775808,1996-07-30,2,3.05,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,8,3,-9223372036854775808,10.0,3,40,5,False,
10261,35,14.4,20,0.0,288.0,-9223372036854775808,4,,-9223372036854775808,1996-07-30,2,3.05,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,16,1,-9223372036854775808,18.0,20,0,15,False,
10262,5,17.0,12,0.2000000029802322,204.0,-9223372036854775808,8,,-9223372036854775808,1996-07-25,3,48.29,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,2,2,-9223372036854775808,21.35,0,0,0,True,
10262,7,24.0,15,0.0,360.0,-9223372036854775808,8,,-9223372036854775808,1996-07-25,3,48.29,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,3,7,-9223372036854775808,30.0,15,0,10,False,
10262,56,30.4,2,0.0,60.8,-9223372036854775808,8,,-9223372036854775808,1996-07-25,3,48.29,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,26,5,-9223372036854775808,38.0,21,10,30,False,
10263,16,13.9,60,0.25,834.0,-9223372036854775808,9,,-9223372036854775808,1996-07-31,3,146.06,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,7,3,-9223372036854775808,17.45,29,0,10,False,
10263,24,3.6,28,0.0,100.8,-9223372036854775808,9,,-9223372036854775808,1996-07-31,3,146.06,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,10,1,-9223372036854775808,4.5,20,0,0,True,
10263,30,20.7,60,0.25,1242.0,-9223372036854775808,9,,-9223372036854775808,1996-07-31,3,146.06,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,13,8,-9223372036854775808,25.89,10,0,15,False,
10263,74,8.0,36,0.25,288.0,-9223372036854775808,9,,-9223372036854775808,1996-07-31,3,146.06,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,4,7,-9223372036854775808,10.0,4,20,5,False,
10264,2,15.2,35,0.0,532.0,-9223372036854775808,6,,-9223372036854775808,1996-08-23,3,3.67,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,1,1,-9223372036854775808,19.0,17,40,25,False,
10264,41,7.7,25,0.1500000059604644,192.5,-9223372036854775808,6,,-9223372036854775808,1996-08-23,3,3.67,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,19,8,-9223372036854775808,9.65,85,0,10,False,
10265,17,31.2,30,0.0,936.0,-9223372036854775808,2,,-9223372036854775808,1996-08-12,1,55.28,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,7,6,-9223372036854775808,39.0,0,0,0,True,
10265,70,12.0,20,0.0,240.0,-9223372036854775808,2,,-9223372036854775808,1996-08-12,1,55.28,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,7,1,-9223372036854775808,15.0,15,10,30,False,
10266,12,30.4,12,0.050000000745058,364.8,-9223372036854775808,3,,834278400000000000,1996-07-31,3,25.73,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,5,4,-9223372036854775808,38.0,86,0,0,False,
10267,40,14.7,50,0.0,735.0,-9223372036854775808,4,,-9223372036854775808,1996-08-06,1,208.58,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,19,8,-9223372036854775808,18.4,123,0,30,False,
10267,59,44.0,70,0.1500000059604644,3080.0,-9223372036854775808,4,,-9223372036854775808,1996-08-06,1,208.58,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,28,4,-9223372036854775808,55.0,79,0,0,False,
10267,76,14.4,15,0.1500000059604644,216.0,-9223372036854775808,4,,-9223372036854775808,1996-08-06,1,208.58,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,23,1,-9223372036854775808,18.0,57,0,20,False,
10268,29,99.0,10,0.0,990.0,-9223372036854775808,8,,-9223372036854775808,1996-08-02,3,66.29,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,12,6,-9223372036854775808,123.79,0,0,0,True,
10268,72,27.8,4,0.0,111.2,-9223372036854775808,8,,-9223372036854775808,1996-08-02,3,66.29,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,14,4,-9223372036854775808,34.8,14,0,0,False,
10269,33,2.0,60,0.050000000745058,120.0,-9223372036854775808,5,,-9223372036854775808,1996-08-09,1,4.56,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,15,4,-9223372036854775808,2.5,112,0,20,False,
10269,72,27.8,20,0.050000000745058,556.0,-9223372036854775808,5,,-9223372036854775808,1996-08-09,1,4.56,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,14,4,-9223372036854775808,34.8,14,0,0,False,
10270,36,15.2,30,0.0,456.0,-9223372036854775808,1,1996-01-08,-9223372036854775808,1996-08-02,1,136.54,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,17,8,-9223372036854775808,19.0,112,0,20,False,1996-01
10270,43,36.8,25,0.0,920.0,-9223372036854775808,1,1996-01-08,-9223372036854775808,1996-08-02,1,136.54,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,20,1,-9223372036854775808,46.0,17,10,25,False,1996-01
10271,33,2.0,24,0.0,48.0,-9223372036854775808,6,1996-01-08,-9223372036854775808,1996-08-30,2,4.54,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,15,4,-9223372036854775808,2.5,112,0,20,False,1996-01
10272,20,64.8,6,0.0,388.8,-9223372036854775808,6,1996-02-08,-9223372036854775808,1996-08-06,2,98.03,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,8,3,-9223372036854775808,81.0,40,0,0,False,1996-02
10272,31,10.0,40,0.0,400.0,-9223372036854775808,6,1996-02-08,-9223372036854775808,1996-08-06,2,98.03,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,14,4,-9223372036854775808,12.5,0,70,20,False,1996-02
10272,72,27.8,24,0.0,667.2,-9223372036854775808,6,1996-02-08,-9223372036854775808,1996-08-06,2,98.03,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,14,4,-9223372036854775808,34.8,14,0,0,False,1996-02
10273,10,24.8,24,0.050000000745058,595.2,-9223372036854775808,3,1996-05-08,823824000000000000,1996-08-12,3,76.07,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,4,8,-9223372036854775808,31.0,31,0,0,False,1996-05
10273,31,10.0,15,0.050000000745058,150.0,-9223372036854775808,3,1996-05-08,823824000000000000,1996-08-12,3,76.07,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,14,4,-9223372036854775808,12.5,0,70,20,False,1996-05
10273,33,2.0,20,0.0,40.0,-9223372036854775808,3,1996-05-08,823824000000000000,1996-08-12,3,76.07,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,15,4,-9223372036854775808,2.5,112,0,20,False,1996-05
10273,40,14.7,60,0.050000000745058,882.0,-9223372036854775808,3,1996-05-08,823824000000000000,1996-08-12,3,76.07,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,19,8,-9223372036854775808,18.4,123,0,30,False,1996-05
10273,76,14.4,33,0.050000000745058,475.2,-9223372036854775808,3,1996-05-08,823824000000000000,1996-08-12,3,76.07,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,23,1,-9223372036854775808,18.0,57,0,20,False,1996-05
10274,71,17.2,20,0.0,344.0,-9223372036854775808,6,1996-06-08,826329600000000000,1996-08-16,1,6.01,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,15,4,-9223372036854775808,21.5,26,0,0,False,1996-06
10274,72,27.8,7,0.0,194.6,-9223372036854775808,6,1996-06-08,826329600000000000,1996-08-16,1,6.01,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,14,4,-9223372036854775808,34.8,14,0,0,False,1996-06
10275,24,3.6,12,0.050000000745058,43.2,-9223372036854775808,1,1996-07-08,829008000000000000,1996-08-09,1,26.93,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,10,1,-9223372036854775808,4.5,20,0,0,True,1996-07
10275,59,44.0,6,0.050000000745058,264.0,-9223372036854775808,1,1996-07-08,829008000000000000,1996-08-09,1,26.93,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,28,4,-9223372036854775808,55.0,79,0,0,False,1996-07
10276,10,24.8,15,0.0,372.0,-9223372036854775808,8,1996-08-08,-9223372036854775808,1996-08-14,3,13.84,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,4,8,-9223372036854775808,31.0,31,0,0,False,1996-08
10276,13,4.8,10,0.0,48.0,-9223372036854775808,8,1996-08-08,-9223372036854775808,1996-08-14,3,13.84,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,6,8,-9223372036854775808,6.0,24,0,5,False,1996-08
10277,28,36.4,20,0.0,728.0,-9223372036854775808,2,1996-09-08,834278400000000000,1996-08-13,3,125.77,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,12,7,-9223372036854775808,45.6,26,0,0,True,1996-09
10277,62,39.4,12,0.0,472.8,-9223372036854775808,2,1996-09-08,834278400000000000,1996-08-13,3,125.77,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,29,3,-9223372036854775808,49.3,17,0,0,False,1996-09
10278,44,15.5,16,0.0,248.0,-9223372036854775808,8,1996-12-08,842227200000000000,1996-08-16,2,92.69,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,20,2,-9223372036854775808,19.45,27,0,15,False,1996-12
10278,59,44.0,15,0.0,660.0,-9223372036854775808,8,1996-12-08,842227200000000000,1996-08-16,2,92.69,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,28,4,-9223372036854775808,55.0,79,0,0,False,1996-12
10278,63,35.1,8,0.0,280.8,-9223372036854775808,8,1996-12-08,842227200000000000,1996-08-16,2,92.69,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,7,2,-9223372036854775808,43.9,24,0,5,False,1996-12
10278,73,12.0,25,0.0,300.0,-9223372036854775808,8,1996-12-08,842227200000000000,1996-08-16,2,92.69,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,17,8,-9223372036854775808,15.0,101,0,5,False,1996-12
10279,17,31.2,15,0.25,468.0,-9223372036854775808,8,,844819200000000000,1996-08-16,2,25.83,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,7,6,-9223372036854775808,39.0,0,0,0,True,
10280,24,3.6,12,0.0,43.2,-9223372036854775808,2,,847497600000000000,1996-09-12,1,8.98,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,10,1,-9223372036854775808,4.5,20,0,0,True,
10280,55,19.2,20,0.0,384.0,-9223372036854775808,2,,847497600000000000,1996-09-12,1,8.98,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,25,6,-9223372036854775808,24.0,115,0,20,False,
10280,75,6.2,30,0.0,186.0,-9223372036854775808,2,,847497600000000000,1996-09-12,1,8.98,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,12,1,-9223372036854775808,7.75,125,0,25,False,
10281,19,7.3,1,0.0,7.3,-9223372036854775808,4,,-9223372036854775808,1996-08-21,1,2.94,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,8,3,-9223372036854775808,9.2,25,0,5,False,
10281,24,3.6,6,0.0,21.6,-9223372036854775808,4,,-9223372036854775808,1996-08-21,1,2.94,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,10,1,-9223372036854775808,4.5,20,0,0,True,
10281,35,14.4,4,0.0,57.6,-9223372036854775808,4,,-9223372036854775808,1996-08-21,1,2.94,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,16,1,-9223372036854775808,18.0,20,0,15,False,
10282,30,20.7,6,0.0,124.2,-9223372036854775808,4,,850089600000000000,1996-08-21,1,12.69,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,13,8,-9223372036854775808,25.89,10,0,15,False,
10282,57,15.6,2,0.0,31.2,-9223372036854775808,4,,850089600000000000,1996-08-21,1,12.69,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,26,5,-9223372036854775808,19.5,36,0,20,False,
10283,15,12.4,20,0.0,248.0,-9223372036854775808,3,,-9223372036854775808,1996-08-23,3,84.81,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,-9223372036854775808,6,2,-9223372036854775808,15.5,39,0,5,False,
