orderid,customerid,employeeid,orderdate,requireddate,shippeddate,shipvia,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry,shipstate/province,shipzip/postalcode,shipcountry/region,shippingfee,taxes,paymenttype,paiddate,notes,taxrate,taxstatus,statusid,uniquerowid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax,productid,unitpricex,quantity,discount,productname,supplierid,categoryid,quantityperunit,unitpricey,unitsinstock,unitsonorder,reorderlevel,discontinued,orderdate_main,year,month,unitprice,totalamount
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1.0,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,,,,,,,,,,,,3,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,,69004,France,78.32.54.86,78.32.54.87,65,16.8,20.0,0.0,Louisiana Fiery Hot Pepper Sauce,2.0,2.0,32 - 8 oz bottles,21.05,76.0,0.0,0.0,False,1996-08-07,1996.0,8.0,16.8,336.0
10252,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2.0,51.3,Supr mes d lices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,,,,,,,,,,,,4,Supr mes d lices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21,20,64.8,40.0,0.050000000745058,Sir Rodney's Marmalade,8.0,3.0,30 gift boxes,81.0,40.0,0.0,0.0,False,1996-09-07,1996.0,9.0,64.8,2592.0
10252,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2.0,51.3,Supr mes d lices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,,,,,,,,,,,,4,Supr mes d lices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21,33,2.0,25.0,0.050000000745058,Geitost,15.0,4.0,500 g,2.5,112.0,0.0,20.0,False,1996-09-07,1996.0,9.0,2.0,50.0
10252,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2.0,51.3,Supr mes d lices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,,,,,,,,,,,,4,Supr mes d lices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21,60,27.2,40.0,0.0,Camembert Pierrot,28.0,4.0,15 - 300 g rounds,34.0,19.0,0.0,0.0,False,1996-09-07,1996.0,9.0,27.2,1088.0
10253,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2.0,58.17,Hanari Carnes,"Rua do Pa o, 67",Rio de Janeiro,RJ,05454-876,Brazil,,,,,,,,,,,,5,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Pa o, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765,31,10.0,20.0,0.0,Gorgonzola Telino,14.0,4.0,12 - 100 g pkgs,12.5,0.0,70.0,20.0,False,1996-10-07,1996.0,10.0,10.0,200.0
10253,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2.0,58.17,Hanari Carnes,"Rua do Pa o, 67",Rio de Janeiro,RJ,05454-876,Brazil,,,,,,,,,,,,5,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Pa o, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765,39,14.4,42.0,0.0,Chartreuse verte,18.0,1.0,750 cc per bottle,18.0,69.0,0.0,5.0,False,1996-10-07,1996.0,10.0,14.4,604.8000000000001
10253,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2.0,58.17,Hanari Carnes,"Rua do Pa o, 67",Rio de Janeiro,RJ,05454-876,Brazil,,,,,,,,,,,,5,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Pa o, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765,49,16.0,40.0,0.0,Maxilaku,23.0,3.0,24 - 50 g pkgs.,20.0,10.0,60.0,15.0,False,1996-10-07,1996.0,10.0,16.0,640.0
10254,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2.0,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,,,,,,,,,,,,6,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,,3012,Switzerland,0452-076545,,24,3.6,15.0,0.1500000059604644,Guaran  Fant stica,10.0,1.0,12 - 355 ml cans,4.5,20.0,0.0,0.0,True,1996-11-07,1996.0,11.0,3.6,54.0
10254,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2.0,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,,,,,,,,,,,,6,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,,3012,Switzerland,0452-076545,,55,19.2,21.0,0.1500000059604644,P t  chinois,25.0,6.0,24 boxes x 2 pies,24.0,115.0,0.0,20.0,False,1996-11-07,1996.0,11.0,19.2,403.2
10254,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2.0,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,,,,,,,,,,,,6,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,,3012,Switzerland,0452-076545,,74,8.0,21.0,0.0,Longlife Tofu,4.0,7.0,5 kg pkg.,10.0,4.0,20.0,5.0,False,1996-11-07,1996.0,11.0,8.0,168.0
10255,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3.0,148.33,Richter Supermarkt,Starenweg 5,Gen ve,,1204,Switzerland,,,,,,,,,,,,7,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Gen ve,,1203,Switzerland,0897-034214,,2,15.2,20.0,0.0,Chang,1.0,1.0,24 - 12 oz bottles,19.0,17.0,40.0,25.0,False,1996-12-07,1996.0,12.0,15.2,304.0
10255,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3.0,148.33,Richter Supermarkt,Starenweg 5,Gen ve,,1204,Switzerland,,,,,,,,,,,,7,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Gen ve,,1203,Switzerland,0897-034214,,16,13.9,35.0,0.0,Pavlova,7.0,3.0,32 - 500 g boxes,17.45,29.0,0.0,10.0,False,1996-12-07,1996.0,12.0,13.9,486.5
10255,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3.0,148.33,Richter Supermarkt,Starenweg 5,Gen ve,,1204,Switzerland,,,,,,,,,,,,7,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Gen ve,,1203,Switzerland,0897-034214,,36,15.2,25.0,0.0,Inlagd Sill,17.0,8.0,24 - 250 g  jars,19.0,112.0,0.0,20.0,False,1996-12-07,1996.0,12.0,15.2,380.0
10255,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3.0,148.33,Richter Supermarkt,Starenweg 5,Gen ve,,1204,Switzerland,,,,,,,,,,,,7,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Gen ve,,1203,Switzerland,0897-034214,,59,44.0,30.0,0.0,Raclette Courdavault,28.0,4.0,5 kg pkg.,55.0,79.0,0.0,0.0,False,1996-12-07,1996.0,12.0,44.0,1320.0
10256,WELLI,3,1996-07-15,1996-08-12,1996-07-17,2.0,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,,,,,,,,,,,,8,Wellington Importadora,Paula Parente,Sales Manager,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,(14) 555-8122,,53,26.2,15.0,0.0,Perth Pasties,24.0,6.0,48 pieces,32.8,0.0,0.0,0.0,True,,,,26.2,393.0
10256,WELLI,3,1996-07-15,1996-08-12,1996-07-17,2.0,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,,,,,,,,,,,,8,Wellington Importadora,Paula Parente,Sales Manager,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,(14) 555-8122,,77,10.4,12.0,0.0,Original Frankfurter gr ne So e,12.0,2.0,12 boxes,13.0,32.0,0.0,15.0,False,,,,10.4,124.80000000000001
10257,HILAA,4,1996-07-16,1996-08-13,1996-07-22,3.0,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,,,,,,,,,,,,9,HILARION-Abastos,Carlos Hern ndez,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,(5) 555-1340,(5) 555-1948,27,35.1,25.0,0.0,Schoggi Schokolade,11.0,3.0,100 - 100 g pieces,43.9,49.0,0.0,30.0,False,,,,35.1,877.5
10257,HILAA,4,1996-07-16,1996-08-13,1996-07-22,3.0,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,,,,,,,,,,,,9,HILARION-Abastos,Carlos Hern ndez,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,(5) 555-1340,(5) 555-1948,39,14.4,6.0,0.0,Chartreuse verte,18.0,1.0,750 cc per bottle,18.0,69.0,0.0,5.0,False,,,,14.4,86.4
10257,HILAA,4,1996-07-16,1996-08-13,1996-07-22,3.0,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,,,,,,,,,,,,9,HILARION-Abastos,Carlos Hern ndez,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,(5) 555-1340,(5) 555-1948,77,10.4,15.0,0.0,Original Frankfurter gr ne So e,12.0,2.0,12 boxes,13.0,32.0,0.0,15.0,False,,,,10.4,156.0
10258,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1.0,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,,,,,,,,,,,,10,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426,2,15.2,50.0,0.2000000029802322,Chang,1.0,1.0,24 - 12 oz bottles,19.0,17.0,40.0,25.0,False,,,,15.2,760.0
10258,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1.0,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,,,,,,,,,,,,10,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426,5,17.0,65.0,0.2000000029802322,Chef Anton's Gumbo Mix,2.0,2.0,36 boxes,21.35,0.0,0.0,0.0,True,,,,17.0,1105.0
10258,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1.0,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,,,,,,,,,,,,10,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426,32,25.6,6.0,0.2000000029802322,Mascarpone Fabioli,14.0,4.0,24 - 200 g pkgs.,32.0,9.0,40.0,25.0,False,,,,25.6,153.60000000000002
10259,CENTC,4,1996-07-18,1996-08-15,1996-07-25,3.0,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,M xico D.F.,,05022,Mexico,,,,,,,,,,,,11,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,M xico D.F.,,05022,Mexico,(5) 555-3392,(5) 555-7293,21,8.0,10.0,0.0,Sir Rodney's Scones,8.0,3.0,24 pkgs. x 4 pieces,10.0,3.0,40.0,5.0,False,,,,8.0,80.0
10259,CENTC,4,1996-07-18,1996-08-15,1996-07-25,3.0,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,M xico D.F.,,05022,Mexico,,,,,,,,,,,,11,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,M xico D.F.,,05022,Mexico,(5) 555-3392,(5) 555-7293,37,20.8,1.0,0.0,Gravad lax,17.0,8.0,12 - 500 g pkgs.,26.0,11.0,50.0,25.0,False,,,,20.8,20.8
10260,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,1.0,55.09,Ottilies K seladen,Mehrheimerstr. 369,K ln,,50739,Germany,,,,,,,,,,,,12,Ottilies K seladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,K ln,,50739,Germany,0221-0644327,0221-0765721,41,7.7,16.0,0.25,Jack's New England Clam Chowder,19.0,8.0,12 - 12 oz cans,9.65,85.0,0.0,10.0,False,,,,7.7,123.2
10260,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,1.0,55.09,Ottilies K seladen,Mehrheimerstr. 369,K ln,,50739,Germany,,,,,,,,,,,,12,Ottilies K seladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,K ln,,50739,Germany,0221-0644327,0221-0765721,57,15.6,50.0,0.0,Ravioli Angelo,26.0,5.0,24 - 250 g pkgs.,19.5,36.0,0.0,20.0,False,,,,15.6,780.0
10260,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,1.0,55.09,Ottilies K seladen,Mehrheimerstr. 369,K ln,,50739,Germany,,,,,,,,,,,,12,Ottilies K seladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,K ln,,50739,Germany,0221-0644327,0221-0765721,62,39.4,15.0,0.25,Tarte au sucre,29.0,3.0,48 pies,49.3,17.0,0.0,0.0,False,,,,39.4,591.0
10260,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,1.0,55.09,Ottilies K seladen,Mehrheimerstr. 369,K ln,,50739,Germany,,,,,,,,,,,,12,Ottilies K seladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,K ln,,50739,Germany,0221-0644327,0221-0765721,70,12.0,21.0,0.25,Outback Lager,7.0,1.0,24 - 355 ml bottles,15.0,15.0,10.0,30.0,False,,,,12.0,252.0
10261,QUEDE,4,1996-07-19,1996-08-16,1996-07-30,2.0,3.05,Que Del cia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,,,,,,,,,,,,13,Que Del cia,Bernardo Batista,Accounting Manager,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,(21) 555-4252,(21) 555-4545,21,8.0,20.0,0.0,Sir Rodney's Scones,8.0,3.0,24 pkgs. x 4 pieces,10.0,3.0,40.0,5.0,False,,,,8.0,160.0
10261,QUEDE,4,1996-07-19,1996-08-16,1996-07-30,2.0,3.05,Que Del cia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,,,,,,,,,,,,13,Que Del cia,Bernardo Batista,Accounting Manager,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,(21) 555-4252,(21) 555-4545,35,14.4,20.0,0.0,Steeleye Stout,16.0,1.0,24 - 12 oz bottles,18.0,20.0,0.0,15.0,False,,,,14.4,288.0
10262,RATTC,8,1996-07-22,1996-08-19,1996-07-25,3.0,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,,,,,,,,,,,,14,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,5,17.0,12.0,0.2000000029802322,Chef Anton's Gumbo Mix,2.0,2.0,36 boxes,21.35,0.0,0.0,0.0,True,,,,17.0,204.0
10262,RATTC,8,1996-07-22,1996-08-19,1996-07-25,3.0,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,,,,,,,,,,,,14,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,7,24.0,15.0,0.0,Uncle Bob's Organic Dried Pears,3.0,7.0,12 - 1 lb pkgs.,30.0,15.0,0.0,10.0,False,,,,24.0,360.0
10262,RATTC,8,1996-07-22,1996-08-19,1996-07-25,3.0,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,,,,,,,,,,,,14,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,56,30.4,2.0,0.0,Gnocchi di nonna Alice,26.0,5.0,24 - 250 g pkgs.,38.0,21.0,10.0,30.0,False,,,,30.4,60.8
10263,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,3.0,146.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,,,,,,,,,,,,15,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426,16,13.9,60.0,0.25,Pavlova,7.0,3.0,32 - 500 g boxes,17.45,29.0,0.0,10.0,False,,,,13.9,834.0
10263,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,3.0,146.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,,,,,,,,,,,,15,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426,24,3.6,28.0,0.0,Guaran  Fant stica,10.0,1.0,12 - 355 ml cans,4.5,20.0,0.0,0.0,True,,,,3.6,100.8
10263,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,3.0,146.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,,,,,,,,,,,,15,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426,30,20.7,60.0,0.25,Nord-Ost Matjeshering,13.0,8.0,10 - 200 g glasses,25.89,10.0,0.0,15.0,False,,,,20.7,1242.0
10263,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,3.0,146.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,,,,,,,,,,,,15,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426,74,8.0,36.0,0.25,Longlife Tofu,4.0,7.0,5 kg pkg.,10.0,4.0,20.0,5.0,False,,,,8.0,288.0
10264,FOLKO,6,1996-07-24,1996-08-21,1996-08-23,3.0,3.67,Folk och f  HB, kergatan 24,Br cke,,S-844 67,Sweden,,,,,,,,,,,,16,Folk och f  HB,Maria Larsson,Owner, kergatan 24,Br cke,,S-844 67,Sweden,0695-34 67 21,,2,15.2,35.0,0.0,Chang,1.0,1.0,24 - 12 oz bottles,19.0,17.0,40.0,25.0,False,,,,15.2,532.0
10264,FOLKO,6,1996-07-24,1996-08-21,1996-08-23,3.0,3.67,Folk och f  HB, kergatan 24,Br cke,,S-844 67,Sweden,,,,,,,,,,,,16,Folk och f  HB,Maria Larsson,Owner, kergatan 24,Br cke,,S-844 67,Sweden,0695-34 67 21,,41,7.7,25.0,0.1500000059604644,Jack's New England Clam Chowder,19.0,8.0,12 - 12 oz cans,9.65,85.0,0.0,10.0,False,,,,7.7,192.5
10265,BLONP,2,1996-07-25,1996-08-22,1996-08-12,1.0,55.28,Blondel p re et fils,"24, place Kl ber",Strasbourg,,67000,France,,,,,,,,,,,,17,Blondesddsl p re et fils,Fr d rique Citeaux,Marketing Manager,"24, place Kl ber",Strasbourg,,67000,France,88.60.15.31,88.60.15.32,17,31.2,30.0,0.0,Alice Mutton,7.0,6.0,20 - 1 kg tins,39.0,0.0,0.0,0.0,True,,,,31.2,936.0
10265,BLONP,2,1996-07-25,1996-08-22,1996-08-12,1.0,55.28,Blondel p re et fils,"24, place Kl ber",Strasbourg,,67000,France,,,,,,,,,,,,17,Blondesddsl p re et fils,Fr d rique Citeaux,Marketing Manager,"24, place Kl ber",Strasbourg,,67000,France,88.60.15.31,88.60.15.32,70,12.0,20.0,0.0,Outback Lager,7.0,1.0,24 - 355 ml bottles,15.0,15.0,10.0,30.0,False,,,,12.0,240.0
10266,WARTH,3,1996-07-26,1996-09-06,1996-07-31,3.0,25.73,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,,,,,,,,,,,,18,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Torikatu 38,Oulu,,90110,Finland,981-443655,981-443655,12,30.4,12.0,0.050000000745058,Queso Manchego La Pastora,5.0,4.0,10 - 500 g pkgs.,38.0,86.0,0.0,0.0,False,,,,30.4,364.79999999999995
10267,FRANK,4,1996-07-29,1996-08-26,1996-08-06,1.0,208.58,Frankenversand,Berliner Platz 43,M nchen,,80805,Germany,,,,,,,,,,,,19,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,M nchen,,80805,Germany,089-0877310,089-0877451,40,14.7,50.0,0.0,Boston Crab Meat,19.0,8.0,24 - 4 oz tins,18.4,123.0,0.0,30.0,False,,,,14.7,735.0
10267,FRANK,4,1996-07-29,1996-08-26,1996-08-06,1.0,208.58,Frankenversand,Berliner Platz 43,M nchen,,80805,Germany,,,,,,,,,,,,19,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,M nchen,,80805,Germany,089-0877310,089-0877451,59,44.0,70.0,0.1500000059604644,Raclette Courdavault,28.0,4.0,5 kg pkg.,55.0,79.0,0.0,0.0,False,,,,44.0,3080.0
10267,FRANK,4,1996-07-29,1996-08-26,1996-08-06,1.0,208.58,Frankenversand,Berliner Platz 43,M nchen,,80805,Germany,,,,,,,,,,,,19,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,M nchen,,80805,Germany,089-0877310,089-0877451,76,14.4,15.0,0.1500000059604644,Lakkalik  ri,23.0,1.0,500 ml,18.0,57.0,0.0,20.0,False,,,,14.4,216.0
10268,GROSR,8,1996-07-30,1996-08-27,1996-08-02,3.0,66.29,GROSELLA-Restaurante,5  Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,,,,,,,,,,,,20,GROSELLA-Restaurante,Manuel Pereira,Owner,5  Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,(2) 283-2951,(2) 283-3397,29,99.0,10.0,0.0,Th ringer Rostbratwurst,12.0,6.0,50 bags x 30 sausgs.,123.79,0.0,0.0,0.0,True,,,,99.0,990.0
